n,d,loss_trend,CV_probability
1300,100,0.0,0.9999999999999984
1350,100,7.865504282989209e-06,0.9874999999999985
1400,100,5.567931461438365e-06,0.9874999999999985
1450,100,9.802674006810366e-06,0.9749999999999985
1500,100,3.335494934463901e-05,0.9749999999999985
1550,100,8.809316279090201e-05,0.8874999999999988
1600,100,0.00014977904622955006,0.8749999999999989
1650,100,0.0002994670659434097,0.6624999999999996
1700,100,0.0007314522488165285,0.25000000000000006
1750,100,0.0018768203626181655,0.075
1800,100,0.00238455381857952,0.0
1850,100,0.003306185013522681,0.0
1900,100,0.005384556515595201,0.0
1950,100,0.007998009978843047,0.0
2000,100,0.009721602806720214,0.0
2050,100,0.011770394699475674,0.0
2100,100,0.012470416668917352,0.0
