n,d,loss_trend,CV_probability
20,20,tensor(0.0046),0.9500000000000003
40,20,tensor(0.0034),0.9000000000000002
60,20,tensor(0.0004),0.9500000000000003
80,20,tensor(0.0003),0.9500000000000003
100,20,0.0,1.0000000000000002
120,20,0.0,1.0000000000000002
140,20,0.0,1.0000000000000002
160,20,0.0,1.0000000000000002
180,20,tensor(0.0043),0.8000000000000002
200,20,tensor(0.0540),0.25
220,20,tensor(0.0977),0.05
240,20,tensor(0.1359),0.0
260,20,tensor(0.2433),0.0
280,20,tensor(0.2792),0.0
300,20,tensor(0.2339),0.0
320,20,tensor(0.2817),0.0
340,20,tensor(0.4015),0.0
360,20,tensor(0.4271),0.0
380,20,tensor(0.4426),0.0
400,20,tensor(0.5326),0.0
420,20,tensor(0.4413),0.0
440,20,tensor(0.5351),0.0
460,20,tensor(0.5413),0.0
480,20,tensor(0.5340),0.0
500,20,tensor(0.4851),0.0
