d,n,p,loss_trend,CV_probability
60,60,30,0.0004990847718257563,0.9500000000000003
60,120,30,0.0002050114335978527,0.9500000000000003
60,180,30,0.00019077454688203936,0.9500000000000003
60,240,30,0.00013853688987435726,0.9500000000000003
60,300,30,0.0,1.0000000000000002
60,360,30,0.00010663321757150528,0.9500000000000003
60,420,30,0.0,1.0000000000000002
60,480,30,0.00020704471248359803,0.9000000000000002
60,540,30,0.0004513305133996106,0.8000000000000002
60,600,30,0.0018511751760284688,0.44999999999999996
60,660,30,0.0040262828580480605,0.15000000000000002
60,720,30,0.007014664888425327,0.0
60,780,30,0.020725574602321918,0.0
60,840,30,0.022519935767541105,0.0
60,900,30,0.027122688978976118,0.0
60,960,30,0.03921913961228206,0.0
60,1020,30,0.0554100145372429,0.0
60,1080,30,0.0670122390269187,0.0
60,1140,30,0.08809043628935288,0.0
60,1200,30,0.09967191947517233,0.0
60,1260,30,0.11167815857283434,0.0
60,1320,30,0.13372644123740085,0.0
60,1380,30,0.15427285717489944,0.0
60,1440,30,0.16609177775110662,0.0
60,1500,30,0.18362349724472124,0.0
60,1560,30,0.19520949232547424,0.0
60,1620,30,0.21308662364248773,0.0
