n,d,log_speed,log_avg_speed,log_lower,log_upper
2000,4000,-3.9979259208890974,-3.5557050341893173,-6.04220801224042,-0.29292534687550176
2050,4000,-3.969234244459879,-3.563482275716994,-6.153624496965431,-0.2997637476042144
2100,4000,-3.945388514354199,-3.5188924389569993,-6.2819140209112865,-0.3283038748711225
2150,4000,-4.0027201741202365,-3.592383597465537,-6.3943382436350875,-0.30642287989051187
2200,4000,-4.110197281668596,-3.6302773504144534,-6.261746586952404,-0.33681298275719135
2250,4000,-4.084937824624014,-3.654443780696056,-6.201634794754866,-0.3369647517173532
2300,4000,-4.108197696707639,-3.680310412684711,-6.266917532458722,-0.34490674066107097
2350,4000,-4.135294224594716,-3.683435499616669,-6.144663642063032,-0.35751335349840724
2400,4000,-4.033212396891795,-3.615663851531797,-6.219946947656692,-0.3746667467716162
2450,4000,-4.216529270322601,-3.7515782434439937,-6.291056010995238,-0.3788520414022602
2500,4000,-4.115068689599057,-3.6620375835285985,-6.376912774600506,-0.40539722057217614
2550,4000,-4.069368774436317,-3.6354916255426426,-6.303445511064574,-0.409434568765919
2600,4000,-4.206390935349433,-3.730608673879096,-6.3971619862539555,-0.40168388399008753
2650,4000,-4.129422861683239,-3.6817306469785036,-6.485992916832745,-0.41895689467872216
2700,4000,-4.1261626998702585,-3.702964519788241,-6.338640863566491,-0.4277144496956643
2750,4000,-4.210708765149567,-3.735240129441917,-6.547923342670712,-0.4437468189946772
2800,4000,-4.229325074542118,-3.7540539269600064,-6.3914912594154725,-0.45897222728095605
2850,4000,-4.154220544470088,-3.7192034134591867,-6.408815548857959,-0.4832425234562125
2900,4000,-4.154482018137347,-3.7068142302271774,-6.387074722915725,-0.47119748338332934
2950,4000,-4.226349882102171,-3.7689486425165657,-6.318988968052668,-0.47449099243757575
3000,4000,-4.198677750114252,-3.74681195644029,-6.424827173705874,-0.4680092926511266
3050,4000,-4.318905244509268,-3.847845632710051,-6.435641847480677,-0.4934723348468764
3100,4000,-4.375609595694341,-3.879696774527773,-6.484815900519378,-0.5018129706149558
3150,4000,-4.317539698256534,-3.8308190286213293,-6.52260137929648,-0.5036314150484238
3200,4000,-4.14676772846797,-3.7061179292089683,-6.637072206110094,-0.5285763992031174
3250,4000,-4.288943711812961,-3.8254705928169543,-6.500452268187989,-0.5322691413804721
3300,4000,-4.313938593209145,-3.8376125560236516,-6.590380703506764,-0.5321943428784295
3350,4000,-4.3874851292461745,-3.8941883041481744,-6.441531695699584,-0.5492136648927228
3400,4000,-4.332882393579122,-3.8567342457617135,-6.558295435377387,-0.5561379064170576
3450,4000,-4.452944048703895,-3.949392845289017,-6.667696048984138,-0.5461748973230575
3500,4000,-4.271452434506482,-3.8173680263072396,-6.601841895090564,-0.5753974179165859
3550,4000,-4.363645832255694,-3.8810038721185443,-6.6854680151074675,-0.5766056453542865
3600,4000,-4.384021975539312,-3.8911077826369094,-6.688759897503922,-0.5875954474630415
3650,4000,-4.301225845138752,-3.8617154031100704,-6.653080190938509,-0.5896528143430599
3700,4000,-4.454750433016025,-3.9521429627245706,-6.678027707569963,-0.5758519091305384
3750,4000,-4.50694761109087,-3.9821056552720044,-6.626033815398136,-0.5896136891984924
3800,4000,-4.626640800508824,-4.098328083993064,-6.695296805910847,-0.591794239443263
3850,4000,-4.468110755443418,-3.959839589451604,-6.692361353773595,-0.6018858173619089
3900,4000,-4.540847103213703,-4.014095614502375,-6.704418037776735,-0.6065024590304644
3950,4000,-4.531129762038828,-4.020510754260569,-6.66601586774739,-0.6142799066123286
4000,4000,-4.535722054744389,-4.003500260248852,-6.639938693657984,-0.6175837007665314
