d,n,p,loss_trend,CV_probability
100,1300,36,0.0,0.9999999999999984
100,1350,36,4.983343840411687e-06,0.9874999999999985
100,1400,36,0.0,0.9999999999999984
100,1450,36,0.0,0.9999999999999984
100,1500,36,1.6202597306618827e-05,0.9624999999999986
100,1550,36,0.00011361470665955592,0.849999999999999
100,1600,37,0.00014773699452483316,0.849999999999999
100,1650,37,0.00018435945734724814,0.6749999999999996
100,1700,37,0.0006919629954277563,0.25000000000000006
100,1750,37,0.0014101635372776786,0.037500000000000006
100,1800,37,0.0024965331435790766,0.0
100,1850,37,0.0033752989272713236,0.0
100,1900,37,0.00508059534723477,0.0
100,1950,37,0.00918003913759382,0.0
100,2000,37,0.00937305506629651,0.0
100,2050,37,0.011246573957846952,0.0
100,2100,38,0.012776759092900323,0.0
