n,d,loss_trend,CV_probability
60,60,0.0,1.0000000000000002
120,60,tensor(0.0004),0.9500000000000003
180,60,0.0,1.0000000000000002
240,60,tensor(0.0002),0.9500000000000003
300,60,0.0,1.0000000000000002
360,60,tensor(0.0001),0.9500000000000003
420,60,tensor(0.0001),0.9500000000000003
480,60,0.0,1.0000000000000002
540,60,0.0,1.0000000000000002
600,60,0.0,1.0000000000000002
660,60,0.0,1.0000000000000002
720,60,0.0,1.0000000000000002
780,60,0.0,1.0000000000000002
840,60,0.0,1.0000000000000002
900,60,0.0,1.0000000000000002
960,60,0.0,1.0000000000000002
1020,60,0.0,1.0000000000000002
1080,60,tensor(0.0003),0.9000000000000002
1140,60,tensor(0.0009),0.6
1200,60,tensor(0.0048),0.15000000000000002
1260,60,tensor(0.0196),0.0
1320,60,tensor(0.0334),0.0
1380,60,tensor(0.0619),0.0
1440,60,tensor(0.0734),0.0
1500,60,tensor(0.0970),0.0
