n,d,p,loss_trend,CV_probability
250,30,160,0.0,1.0000000000000002
260,30,160,0.0,1.0000000000000002
270,30,160,0.0,1.0000000000000002
280,30,160,0.0,1.0000000000000002
290,30,160,0.0,1.0000000000000002
300,30,160,"tensor(6.1258e-05, dtype=torch.float64)",0.9600000000000003
310,30,160,"tensor(0.0008, dtype=torch.float64)",0.8400000000000002
320,30,160,"tensor(0.0006, dtype=torch.float64)",0.8000000000000002
330,30,160,"tensor(0.0018, dtype=torch.float64)",0.5599999999999999
340,30,160,"tensor(0.0033, dtype=torch.float64)",0.32
350,30,160,"tensor(0.0050, dtype=torch.float64)",0.12
360,30,160,"tensor(0.0094, dtype=torch.float64)",0.0
370,30,160,"tensor(0.0106, dtype=torch.float64)",0.08
380,30,160,"tensor(0.0159, dtype=torch.float64)",0.0
390,30,160,"tensor(0.0192, dtype=torch.float64)",0.0
400,30,160,"tensor(0.0276, dtype=torch.float64)",0.0
