d,n,p,loss_trend,CV_probability
30,350,360,8.142673411167835e-05,0.9500000000000003
30,360,360,0.0006764495551615995,0.7000000000000001
30,370,360,0.0007408974565081712,0.7500000000000001
30,380,360,0.0018539255932311309,0.44999999999999996
30,390,360,0.0031585434685027043,0.25
30,400,360,0.006236968046932966,0.15000000000000002
30,410,360,0.009210837269733286,0.0
30,420,360,0.012130855445998817,0.1
30,430,360,0.02447248455141911,0.0
30,440,360,0.02586324615088782,0.05
30,450,360,0.04610171387450173,0.0
