n,d,log_speed,log_avg_speed,log_lower,log_upper
1000,2000,-4.496529792956853,-4.218757686808388,-5.153092549221721,-0.5680981946235432
1100,2000,-4.575624689808266,-4.290472731938289,-5.2269364842844075,-0.6156642293902731
1200,2000,-4.645653812699965,-4.358537040184648,-5.311224477941726,-0.661509852714558
1300,2000,-4.72782420776622,-4.433631753252319,-5.38087447385702,-0.7008823119660518
1400,2000,-4.788393231564062,-4.4869810780365125,-5.4407601648808885,-0.7345169216698934
1500,2000,-4.822687468635836,-4.517240778458025,-5.47913434183638,-0.7728418079071173
1600,2000,-4.882703094592964,-4.569841002624527,-5.517381962953639,-0.8065084713838533
1700,2000,-4.927941437775048,-4.60781745886399,-5.563190808152211,-0.8367227243927678
1800,2000,-4.954465830038874,-4.634506551025338,-5.583341964052665,-0.8662914843527728
1900,2000,-5.021343551168083,-4.6941069592037445,-5.639358295548626,-0.8894198792962922
2000,2000,-5.079210376189901,-4.741079041344191,-5.669466958288031,-0.9161857228434095
