n,d,log_speed,log_avg_speed,log_lower,log_upper
1000,2000,-4.5918476763824225,-4.310031291178818,-5.21324927101652,-0.5539741456364249
1100,2000,-4.553614467727582,-4.276761280224652,-5.202236403750814,-0.6175631461976792
1200,2000,-4.59286051106041,-4.300151414938677,-5.262724295703639,-0.6721744484132194
1300,2000,-4.668676764861102,-4.379217142049211,-5.328075213755479,-0.7004843818507142
1400,2000,-4.738723566532807,-4.432438552083116,-5.360835941440117,-0.7329227830884179
1500,2000,-4.855767265370516,-4.544437879860679,-5.5003944053759115,-0.7720933802823486
1600,2000,-4.90110043032186,-4.5842434909819705,-5.51315223062952,-0.8053653211033924
1700,2000,-4.911865936216388,-4.592605005977563,-5.5688717985218466,-0.8404121655973806
1800,2000,-4.9629585555359785,-4.647634734904017,-5.613474842902983,-0.8593864950318205
1900,2000,-5.041243531414035,-4.734093433366829,-5.729607877832947,-0.8860002581651147
2000,2000,-5.045828728798647,-4.7171913287395215,-5.702868067762267,-0.9198994777917416
